first_name,second_name,element_type,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,season
Jhon,Durán,FWD,50,0.2,50,461,5,1,0,12,5,0,7,162,190.2,55.2,165.0,40.2,2023-24
Kortney,Hause,DEF,39,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Tim,Iroegbunam,MID,44,0.0,10,157,0,0,0,7,0,0,0,29,18.6,4.0,0.0,2.1,2023-24
Boubacar,Kamara,MID,50,0.1,40,1653,0,1,7,22,7,1,1,247,256.2,292.7,44.0,59.1,2023-24
Ezri,Konsa Ngoyo,DEF,45,2.2,91,3069,1,1,7,54,5,0,7,562,554.4,170.6,223.0,95.0,2023-24
Emiliano,Martínez Romero,GK,52,10.5,115,3015,0,0,8,48,4,0,19,640,802.0,20.0,0.0,82.2,2023-24
John,McGinn,MID,53,0.9,119,3000,6,5,7,54,9,1,9,502,640.4,690.7,360.0,169.4,2023-24
Tyrone,Mings,DEF,41,1.0,0,30,0,0,0,2,0,0,0,5,3.6,13.0,5.0,2.2,2023-24
Robin,Olsen,GK,39,0.6,17,405,0,0,0,13,0,0,3,107,194.6,0.0,0.0,19.5,2023-24
Jaden,Philogene-Bidace,MID,45,0.0,1,3,0,0,0,1,0,0,0,3,0.4,0.3,2.0,0.3,2023-24
Jacob,Ramsey,MID,59,0.1,29,848,1,1,0,12,2,0,0,101,124.0,159.3,182.0,46.7,2023-24
Morgan,Sanson,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Viljami,Sinisalo,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Youri,Tielemans,MID,56,0.4,77,1613,2,6,4,27,3,0,2,318,369.2,325.4,136.0,83.3,2023-24
Bertrand,Traoré,MID,50,0.0,2,10,0,0,0,0,0,0,0,6,3.0,0.0,0.0,0.3,2023-24
Ollie,Watkins,FWD,89,35.9,228,3222,19,18,7,56,4,0,29,752,1024.6,588.5,1420.0,302.8,2023-24
Wesley,Moraes Ferreira da Silva,FWD,50,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Pau,Torres,DEF,46,2.8,85,2462,2,0,6,37,1,0,4,461,479.4,150.6,135.0,76.6,2023-24
Moussa,Diaby,MID,63,5.8,142,2168,6,11,8,40,1,0,10,429,515.4,617.8,675.0,180.6,2023-24
Omari,Kellyman,MID,45,0.0,2,35,0,0,0,1,0,0,0,6,2.6,0.5,2.0,0.5,2023-24
Filip,Marschall,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Nicolò,Zaniolo,MID,54,0.0,34,824,2,0,2,13,7,0,0,36,146.8,120.1,357.0,61.9,2023-24
Oliwier,Zych,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Clément,Lenglet,DEF,45,0.2,24,1153,0,1,2,27,3,0,0,207,250.6,41.8,103.0,39.5,2023-24
Sam,Proctor,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Tommi,O'Reilly,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
James,Wright,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Kaine,Kesler-Hayden,DEF,40,0.0,3,5,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,2023-24
Morgan,Rogers,MID,50,0.0,35,636,3,1,2,13,3,0,0,114,177.8,118.4,150.0,44.5,2023-24
Joe,Gauci,GK,39,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Finley,Munroe,DEF,40,0.0,1,3,0,0,0,0,0,0,0,3,0.0,1.0,0.0,0.1,2023-24
Kadan,Young,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Lander,Emery,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jaidon,Anthony,MID,49,0.0,3,151,0,0,0,5,1,0,0,4,9.0,4.6,16.0,3.0,2023-24
Philip,Billing,MID,51,0.3,60,1385,2,3,2,36,3,1,3,228,304.2,313.5,267.0,88.3,2023-24
David,Brooks,MID,47,0.0,23,271,1,1,0,7,1,0,2,71,88.2,112.4,113.0,31.4,2023-24
Ryan,Christie,MID,50,0.1,90,2908,0,5,8,56,6,0,5,433,620.2,780.2,351.0,175.4,2023-24
Lewis,Cook,MID,48,0.1,77,2787,0,3,8,51,5,1,5,446,520.2,681.9,67.0,127.2,2023-24
Siriki,Dembélé,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Ryan,Fredericks,DEF,43,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
James,Hill,DEF,40,0.1,5,74,0,0,0,1,0,0,0,22,32.6,2.2,0.0,3.5,2023-24
Lloyd,Kelly,DEF,45,0.1,48,1553,0,1,4,32,2,0,5,293,279.0,141.8,48.0,46.9,2023-24
Gavin,Kilkenny,MID,43,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Justin,Kluivert,MID,46,0.7,100,1910,7,1,11,23,5,0,2,229,362.2,283.2,619.0,126.4,2023-24
Jamal,Lowe,MID,49,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Emiliano,Marcondes,MID,43,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Chris,Mepham,DEF,43,0.1,16,613,0,1,1,16,2,0,0,113,142.6,40.0,27.0,21.0,2023-24
Kieffer,Moore,FWD,46,0.2,14,100,1,0,0,2,0,0,2,38,37.4,27.9,81.0,14.1,2023-24
Norberto,Murara Neto,GK,46,4.2,110,2880,0,0,7,55,5,0,14,592,875.2,0.0,0.0,87.5,2023-24
Dango,Ouattara,MID,47,0.0,56,1214,1,2,5,24,3,0,3,207,298.4,245.4,332.0,87.8,2023-24
Ben,Pearson,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Darren,Randolph,GK,39,0.4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Joe,Rothwell,MID,48,0.0,13,380,0,0,0,12,0,0,0,54,45.8,63.9,5.0,11.6,2023-24
Antoine,Semenyo,FWD,45,2.0,107,2099,8,4,8,33,6,0,14,363,506.8,411.2,748.0,166.8,2023-24
Marcos,Senesi,DEF,44,2.4,102,2239,4,5,6,44,13,0,13,486,735.0,311.2,147.0,119.7,2023-24
Adam,Smith,DEF,44,0.5,80,2148,0,3,8,33,6,0,4,378,336.4,296.5,27.0,66.1,2023-24
Dominic,Solanke,FWD,69,17.8,175,3325,19,3,10,61,3,0,20,560,902.0,479.6,1348.0,272.7,2023-24
Marcus,Tavernier,MID,50,0.3,89,2118,3,4,8,38,3,0,5,324,468.4,649.4,460.0,157.8,2023-24
Hamed,Traorè,MID,47,0.0,3,44,0,0,0,1,0,0,0,10,12.8,14.8,30.0,5.7,2023-24
Mark,Travers,GK,40,0.3,19,360,0,0,2,5,0,0,2,79,92.6,0.0,0.0,9.3,2023-24
Illia,Zabarnyi,DEF,44,1.9,84,3330,1,0,8,67,5,0,3,583,686.0,111.1,117.0,91.5,2023-24
Milos,Kerkez,DEF,44,0.3,59,1966,0,2,6,37,4,1,1,290,310.0,216.5,150.0,67.7,2023-24
Ionuț,Radu,GK,43,0.1,2,180,0,0,0,7,0,0,0,31,33.0,0.0,0.0,3.3,2023-24
Ben,Greenwood,DEF,40,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Max,Aarons,DEF,44,0.1,28,1233,0,1,2,35,1,0,0,199,179.6,114.0,27.0,31.8,2023-24
Alex,Scott,MID,49,0.0,41,1003,1,1,3,25,3,0,3,163,197.0,294.7,116.0,60.7,2023-24
Tyler,Adams,MID,49,0.0,5,118,0,0,0,3,0,0,1,28,24.6,14.1,10.0,4.9,2023-24
Luis,Sinisterra,MID,55,0.0,43,685,2,2,1,18,0,0,2,149,221.4,251.4,343.0,81.7,2023-24
Romain,Faivre,MID,50,0.0,4,37,0,0,0,1,1,0,0,9,5.0,2.5,13.0,1.8,2023-24
Max,Kinsey,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Enes,Ünal,FWD,50,0.0,40,317,2,4,1,9,1,0,3,99,142.4,58.6,242.0,43.7,2023-24
