first_name,second_name,element_type,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,season
Jadon,Sancho,MID,67,0.4,3,76,0,0,0,1,0,0,0,11,9.8,14.8,12.0,3.6,2023-24
Luke,Shaw,DEF,52,2.7,31,960,0,1,4,13,6,0,0,195,197.2,199.3,29.0,42.6,2023-24
Shola,Shoretire,FWD,44,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Donny,van de Beek,MID,47,0.0,1,2,0,0,0,0,0,0,0,3,0.0,10.3,6.0,1.6,2023-24
Aaron,Wan-Bissaka,DEF,44,2.0,47,1778,0,2,3,34,4,0,5,323,397.8,196.5,60.0,65.5,2023-24
André,Onana,GK,50,15.5,133,3420,0,0,9,58,5,0,10,741,1167.8,33.2,0.0,120.2,2023-24
Rasmus,Højlund,FWD,71,5.6,112,2156,10,2,6,35,2,0,14,362,480.6,345.8,648.0,147.0,2023-24
Omari,Forson,MID,44,0.0,7,67,0,1,0,2,0,0,0,23,24.2,23.6,4.0,5.2,2023-24
Radek,Vítek,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Daniel,Gore,MID,45,0.0,1,1,0,0,0,0,0,0,0,5,3.0,0.0,0.0,0.3,2023-24
Altay,Bayindir,GK,39,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jonny,Evans,DEF,40,0.6,49,1389,0,1,4,24,2,0,3,293,330.8,81.2,21.0,43.6,2023-24
Sofyan,Amrabat,MID,50,0.1,26,929,0,0,2,15,6,0,0,125,159.0,102.5,6.0,27.0,2023-24
Joe,Hugill,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Willy,Kambwala,DEF,39,0.1,5,325,0,0,0,10,1,0,0,48,53.8,2.4,0.0,5.5,2023-24
Rhys,Bennett,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Toby,Collyer,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Habeeb,Ogunneye,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Dermot,Mee,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Harry,Amass,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Ethan,Wheatley,FWD,45,0.0,3,13,0,0,0,0,0,0,0,6,2.0,0.0,0.0,0.2,2023-24
Louis,Jackson,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Lewis,Hall,DEF,42,0.6,38,773,1,0,2,12,2,0,3,171,194.8,69.1,85.0,34.9,2023-24
Miguel,Almirón Rejala,MID,60,2.7,77,1930,3,1,5,40,2,0,4,277,299.8,369.7,434.0,110.1,2023-24
Elliot,Anderson,MID,42,1.8,42,1018,0,2,5,14,3,0,3,144,187.4,223.7,201.0,61.1,2023-24
Harrison,Ashby,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Sven,Botman,DEF,45,4.3,51,1375,2,2,3,29,2,0,4,298,386.8,62.9,104.0,55.5,2023-24
Bruno,Guimarães Rodriguez Moura,MID,58,3.3,153,3264,7,9,10,60,8,0,15,691,968.4,948.7,489.0,241.0,2023-24
Dan,Burn,DEF,47,12.7,97,2725,2,2,8,45,4,0,4,493,656.4,153.8,286.0,109.7,2023-24
Karl,Darlow,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Martin,Dubravka,GK,43,8.7,75,1984,0,0,4,42,1,0,3,426,661.0,10.0,0.0,67.2,2023-24
Ryan,Fraser,MID,49,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Mark,Gillespie,GK,39,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Anthony,Gordon,MID,64,20.6,183,2896,11,16,12,48,10,1,14,594,822.6,843.7,905.0,256.7,2023-24
Isaac,Hayden,MID,44,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jeff,Hendrick,MID,44,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Alexander,Isak,FWD,84,41.0,172,2253,21,4,7,41,1,0,23,645,877.4,362.5,1054.0,229.3,2023-24
Joelinton Cássio,Apolinário de Lira,MID,58,0.4,45,1276,2,1,3,23,6,0,3,209,295.2,314.9,206.0,81.6,2023-24
Emil,Krafth,DEF,44,0.1,33,909,0,0,3,15,2,0,1,187,164.2,145.4,28.0,33.8,2023-24
Garang,Kuol,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jamaal,Lascelles,DEF,37,1.9,46,1077,1,0,5,15,4,0,3,212,233.0,35.4,69.0,33.8,2023-24
Jamal,Lewis,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Sean,Longstaff,MID,48,0.4,110,2742,6,3,10,50,7,0,3,418,550.0,357.1,479.0,138.8,2023-24
Javier,Manquillo Gaitán,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jacob,Murphy,MID,48,0.2,82,1184,3,8,5,21,1,0,4,312,377.8,453.4,270.0,110.0,2023-24
Nick,Pope,GK,53,4.8,57,1345,0,0,6,16,1,0,1,279,323.0,0.0,4.0,32.7,2023-24
Matt,Ritchie,MID,43,0.2,17,120,1,0,0,5,1,0,0,49,70.0,9.1,106.0,18.5,2023-24
Allan,Saint-Maximin,MID,60,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Fabian,Schär,DEF,56,7.3,123,3055,4,3,9,58,5,0,12,629,826.6,166.7,278.0,127.4,2023-24
Matt,Targett,DEF,42,0.1,2,77,0,0,0,4,1,0,0,15,9.2,11.9,0.0,2.2,2023-24
Sandro,Tonali,MID,52,1.0,16,437,1,0,1,5,2,0,0,86,81.8,105.0,50.0,23.8,2023-24
Kieran,Trippier,DEF,66,21.2,111,2235,1,10,6,43,5,0,20,589,719.0,1028.5,102.0,185.2,2023-24
Kell,Watts,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Joe,Willock,MID,53,0.1,18,415,1,0,1,9,0,0,0,60,89.8,92.5,106.0,28.8,2023-24
Callum,Wilson,FWD,78,3.0,69,981,9,1,6,15,3,0,4,246,366.2,110.3,563.0,103.2,2023-24
Loris,Karius,GK,39,0.2,1,90,0,0,0,4,0,0,0,17,31.8,0.0,0.0,3.2,2023-24
Paul,Dummett,DEF,39,0.3,5,18,0,0,0,1,0,0,0,10,5.2,1.1,4.0,0.5,2023-24
Harvey,Barnes,MID,62,1.2,64,788,5,3,2,10,2,0,3,205,279.2,181.5,334.0,79.5,2023-24
Tino,Livramento,DEF,40,1.1,45,1302,1,0,2,27,1,0,4,253,292.0,193.9,96.0,58.4,2023-24
Alex,Murphy,DEF,39,0.4,2,11,0,0,0,0,0,0,0,6,2.6,1.0,0.0,0.3,2023-24
Lewis,Miley,MID,45,0.1,44,1203,1,3,1,29,1,0,1,232,237.4,192.8,136.0,56.7,2023-24
Amadou,Diallo,MID,45,0.0,1,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,2023-24
Ben,Parkinson,FWD,45,0.0,1,24,0,0,0,1,0,0,0,2,2.0,0.0,0.0,0.2,2023-24
Michael,Ndiweni,FWD,44,0.0,1,1,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,2023-24
Joe,White,MID,45,0.0,3,12,0,0,0,0,1,0,0,9,0.8,1.1,0.0,0.1,2023-24
Travis,Hernes,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Nuno,Varela Tavares,DEF,40,0.2,11,454,0,0,1,9,2,0,0,69,61.8,48.8,28.0,13.8,2023-24
Matt,Turner,GK,37,8.6,41,1530,0,0,2,28,2,0,0,278,379.6,0.0,0.0,37.9,2023-24
Callum,Hudson-Odoi,MID,47,0.8,109,1846,8,2,2,41,0,0,14,371,489.0,514.2,444.0,145.0,2023-24
Anthony,Elanga,MID,49,1.1,119,2424,5,9,2,47,1,0,5,386,536.4,441.6,618.0,159.2,2023-24
Brandon,Aguilera Zamora,MID,45,0.0,1,4,0,0,0,0,0,0,0,0,0.0,1.6,0.0,0.0,2023-24
Harry,Arter,MID,43,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Serge,Aurier,DEF,45,0.6,27,831,0,2,1,15,2,0,3,137,187.6,84.8,45.0,31.8,2023-24
Taiwo,Awoniyi,FWD,63,1.3,67,1036,6,3,3,21,2,0,5,247,303.2,134.4,308.0,74.2,2023-24
Giulian,Biancone,DEF,39,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Willy,Boly,DEF,45,0.5,58,1437,2,1,3,26,1,1,7,275,480.0,100.5,200.0,78.1,2023-24
Josh,Bowler,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Steve,Cook,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Danilo,dos Santos de Oliveira,MID,53,0.1,65,1787,2,2,1,42,4,0,4,302,368.0,277.6,137.0,78.1,2023-24
Emmanuel,Dennis,FWD,48,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Mohamed,Dräger,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Felipe Augusto,de Almeida Monteiro,DEF,44,0.0,7,372,0,0,1,10,4,0,0,59,61.2,23.2,18.0,10.3,2023-24
Remo,Freuler,MID,49,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Morgan,Gibbs-White,MID,57,2.1,142,3156,5,12,5,59,9,0,13,563,703.2,1155.2,495.0,235.6,2023-24
Wayne,Hennessey,GK,39,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Ethan,Horvath,GK,43,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Cheikhou,Kouyaté,MID,48,0.0,12,206,0,0,0,6,2,0,0,32,36.0,14.3,25.0,7.1,2023-24
Richie,Laryea,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Orel,Mangala,MID,50,0.0,40,1562,1,0,3,31,6,0,0,186,208.0,108.7,44.0,36.0,2023-24
Loïc,Mbe Soh,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Scott,McKenna,DEF,44,0.1,12,416,0,0,1,6,0,0,1,64,89.0,32.4,17.0,13.8,2023-24
Alex,Mighten,MID,44,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Moussa,Niakhaté,DEF,45,0.1,29,1456,1,0,1,36,3,1,1,238,316.6,51.7,55.0,42.3,2023-24
Lewis,O'Brien,MID,49,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Braian,Ojeda Rodríguez,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jonathan,Panzo,DEF,40,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Omar,Richards,DEF,44,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Gustavo Henrique,Furtado Scarpa,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jonjo,Shelvey,MID,48,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Sam,Surridge,FWD,45,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Harry,Toffolo,DEF,44,0.1,52,1452,1,3,2,29,3,0,3,263,355.0,268.4,171.0,79.3,2023-24
Hwang,Ui-jo,FWD,44,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Neco,Williams,DEF,43,0.2,39,1630,0,1,1,33,4,0,2,224,393.4,195.2,139.0,72.8,2023-24
Chris,Wood,FWD,47,1.7,131,1801,14,1,2,34,0,0,22,456,598.2,281.1,795.0,167.4,2023-24
Joe,Worrall,DEF,43,0.1,13,438,0,0,1,9,0,1,3,74,90.0,22.1,18.0,13.0,2023-24
Ryan,Yates,MID,48,0.0,59,1979,1,1,1,38,6,0,1,235,330.4,133.8,258.0,72.1,2023-24
Olu,Aina,DEF,45,0.3,45,1690,1,1,2,39,3,0,2,289,312.0,181.7,49.0,54.4,2023-24
George,Shelvey,GK,39,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Josh,Powell,DEF,39,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Gonzalo,Montiel,DEF,44,0.1,28,796,0,2,1,11,5,0,4,152,170.6,118.3,32.0,31.9,2023-24
Murillo,Santiago Costa dos Santos,DEF,45,0.3,58,2790,0,2,3,56,5,0,1,451,678.4,115.0,164.0,95.8,2023-24
Odysseas,Vlachodimos,GK,45,0.1,12,450,0,0,1,12,0,0,0,79,101.8,10.0,0.0,11.2,2023-24
Andrew,Omobamidele,DEF,45,0.0,11,782,0,0,0,15,2,0,0,94,148.6,25.1,16.0,18.9,2023-24
Nicolás,Domínguez,MID,50,0.0,67,1489,2,2,6,27,4,0,6,276,340.4,176.2,187.0,70.6,2023-24
Ibrahim,Sangaré,MID,49,0.0,25,1031,0,0,4,16,6,0,0,89,168.8,112.9,43.0,32.5,2023-24
Divock,Origi,FWD,50,0.1,25,594,0,1,2,6,1,0,0,59,50.4,107.8,99.0,25.0,2023-24
Jamie,McDonnell,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Detlef Esapa,Osong,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Joe,Gardner,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Giovanni,Reyna,MID,46,0.0,13,228,0,1,0,3,0,0,0,44,55.0,102.7,55.0,21.4,2023-24
Matz,Sels,GK,45,0.2,34,1440,0,0,1,27,1,0,1,206,293.2,10.0,0.0,30.3,2023-24
Rodrigo,Duarte Ribeiro,FWD,45,0.0,4,14,0,0,0,0,0,0,0,9,1.2,1.3,6.0,0.9,2023-24
Auston,Trusty,DEF,39,1.8,28,2568,0,0,1,81,4,0,0,349,517.4,107.3,106.0,73.4,2023-24
Cameron,Archer,FWD,42,3.4,82,1829,4,3,2,50,2,0,9,241,266.0,309.3,353.0,92.8,2023-24
Mason,Holgate,DEF,40,0.4,1,711,0,0,0,27,3,1,0,69,117.8,22.7,19.0,15.9,2023-24
James,McAtee,MID,44,0.4,77,1815,3,4,2,65,2,0,0,259,333.8,394.4,333.0,106.0,2023-24
Anel,Ahmedhodžić,DEF,43,0.2,31,2649,2,0,1,89,9,1,4,325,568.4,96.7,228.0,89.6,2023-24
Jordan,Amissah,GK,39,0.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
George,Baldock,DEF,38,4.0,21,968,0,2,0,21,4,0,2,117,173.6,102.6,21.0,29.6,2023-24
Chris,Basham,DEF,39,0.3,8,316,0,0,0,6,1,0,0,35,69.2,27.4,14.0,11.1,2023-24
Jayden,Bogle,DEF,45,0.1,63,2787,3,3,3,79,9,0,0,354,514.4,183.5,339.0,103.7,2023-24
Rhian,Brewster,FWD,49,0.0,11,338,0,0,0,8,0,1,0,14,21.0,28.3,85.0,13.3,2023-24
Ismaila,Coulibaly,MID,44,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Adam,Davies,GK,40,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
John,Egan,DEF,42,0.1,1,482,0,0,0,17,2,0,0,54,91.2,1.4,38.0,13.1,2023-24
John,Fleck,MID,49,0.0,3,89,0,0,0,5,1,0,0,13,5.4,26.0,2.0,3.3,2023-24
Wes,Foderingham,GK,44,0.3,70,2648,0,0,1,79,2,0,7,531,966.0,10.0,0.0,97.7,2023-24
Daniel,Jebbison,FWD,48,0.0,1,20,0,0,0,0,0,0,0,3,0.0,0.1,4.0,0.4,2023-24
Max,Lowe,DEF,43,0.0,13,498,0,1,0,12,1,0,0,47,102.2,31.9,18.0,15.2,2023-24
Oliver,McBurnie,FWD,54,0.1,66,1279,6,3,1,43,3,2,9,225,377.4,195.9,501.0,107.5,2023-24
Iliman,Ndiaye,FWD,55,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Rhys,Norrington-Davies,DEF,39,0.1,2,109,0,0,0,6,1,0,0,12,8.2,11.7,2.0,2.0,2023-24
Oliver,Norwood,MID,48,0.0,42,1429,1,0,0,47,8,0,3,232,311.2,275.3,82.0,66.8,2023-24
Ben,Osborn,MID,48,0.0,38,1359,0,2,0,40,3,0,0,182,191.4,212.2,26.0,42.8,2023-24
William,Osula,FWD,42,0.8,25,778,0,1,0,23,4,0,0,27,27.0,24.9,200.0,24.4,2023-24
Jack,Robinson,DEF,43,0.1,33,2883,1,1,1,83,10,0,1,375,602.8,162.1,190.0,95.7,2023-24
Anis,Slimane,MID,47,0.0,14,409,0,0,1,14,2,0,0,23,41.6,46.7,72.0,16.1,2023-24
Yasser,Larouci,DEF,43,0.0,10,527,0,0,0,11,1,0,0,63,80.8,27.8,39.0,14.8,2023-24
Bénie,Traoré,FWD,51,0.0,11,383,0,0,0,13,0,0,0,14,25.8,56.7,31.0,11.2,2023-24
Vini,de Souza Costa,MID,50,0.0,73,2664,1,1,1,80,3,0,4,357,558.4,101.8,152.0,81.1,2023-24
Femi,Seriki,DEF,39,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Louie,Marsh,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Andre,Brooks,MID,44,0.0,26,932,0,0,1,29,1,0,0,82,88.6,51.9,76.0,21.8,2023-24
Antwoine,Hackford,FWD,44,0.1,2,11,0,0,0,1,0,0,0,5,0.0,0.3,0.0,0.0,2023-24
Gustavo,Hamer,MID,49,0.2,108,2908,4,7,2,83,9,0,5,462,581.2,929.8,294.0,180.4,2023-24
Tom,Davies,MID,50,0.0,7,214,0,0,0,11,2,0,0,11,26.4,18.1,48.0,9.4,2023-24
Luke,Thomas,DEF,40,0.0,7,916,0,0,0,29,3,0,0,80,127.8,53.9,64.0,24.7,2023-24
Ryan,Oné,MID,44,0.0,1,7,0,0,0,2,0,0,0,3,0.0,0.3,0.0,0.0,2023-24
Jili,Buyabu,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Sydie,Peck,MID,44,0.0,1,9,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,2023-24
Ben,Brereton,MID,50,0.2,62,1105,6,1,0,37,3,0,5,173,312.2,124.0,422.0,85.3,2023-24
Ivo,Grbic,GK,45,0.0,15,771,0,0,0,25,1,0,0,149,257.6,0.0,0.0,25.6,2023-24
Billy,Blacker,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Oliver,Arblaster,MID,45,0.0,19,942,0,0,0,28,2,0,0,131,155.4,140.5,23.0,32.0,2023-24
Dovydas,Sasnauskas,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Sam,Curtis,DEF,40,0.0,1,27,0,0,0,0,0,0,0,2,2.2,0.3,0.0,0.3,2023-24
Owen,Hampson,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Brennan,Johnson,MID,58,2.0,131,2317,5,12,5,42,3,0,9,397,554.4,624.3,782.0,196.3,2023-24
Brandon,Austin,GK,39,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Rodrigo,Bentancur,MID,54,0.0,32,997,1,1,1,25,7,0,0,153,193.0,174.9,156.0,52.1,2023-24
Yves,Bissouma,MID,50,0.3,44,2070,0,0,7,35,8,2,0,315,403.0,279.4,140.0,82.3,2023-24
Bryan,Gil Salvatierra,MID,49,0.0,12,200,0,0,0,11,0,0,0,41,28.6,70.1,59.0,15.9,2023-24
Ben,Davies,DEF,43,0.4,34,1085,1,2,1,21,2,0,0,216,294.8,81.0,124.0,50.3,2023-24
Eric,Dier,DEF,42,0.3,2,199,0,0,0,8,0,0,0,31,55.8,1.0,4.0,6.0,2023-24
Emerson,Leite de Souza Junior,DEF,43,0.8,27,1152,1,0,0,31,4,0,4,233,316.0,119.5,55.0,49.4,2023-24
Fraser,Forster,GK,38,1.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Pierre-Emile,Højbjerg,MID,51,0.3,39,1289,0,0,1,28,4,0,0,239,282.2,205.8,108.0,59.7,2023-24
Harry,Kane,FWD,125,0.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Dejan,Kulusevski,MID,67,2.1,130,2759,8,3,8,46,7,0,14,463,698.8,950.4,953.0,260.1,2023-24
Hugo,Lloris,GK,47,0.5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Giovani,Lo Celso,MID,48,0.1,47,491,2,2,1,12,2,0,6,189,225.8,262.8,110.0,60.0,2023-24
James,Maddison,MID,78,10.0,117,2137,4,11,7,31,5,0,9,495,630.4,979.5,605.0,221.4,2023-24
Tanguy,Ndombélé Alvaro,MID,44,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Pedro,Porro,DEF,59,22.4,136,3090,3,8,7,54,3,0,20,720,839.0,877.4,365.0,208.5,2023-24
Ivan,Perišić,DEF,47,0.7,6,98,0,1,0,1,2,0,0,34,41.6,71.2,27.0,14.0,2023-24
Richarlison,de Andrade,MID,68,2.5,122,1481,11,4,7,18,3,0,7,305,560.6,208.4,758.0,152.1,2023-24
Joe,Rodon,DEF,40,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Cristian,Romero,DEF,51,12.2,107,2790,5,0,7,46,7,1,15,591,841.8,161.9,252.0,125.9,2023-24
Davinson,Sánchez,DEF,44,0.1,0,76,0,0,0,2,1,0,0,9,17.0,5.0,4.0,2.6,2023-24
Pape Matar,Sarr,MID,44,1.6,86,2063,3,3,9,27,9,0,4,397,406.0,373.3,317.0,110.2,2023-24
Ryan,Sessegnon,DEF,44,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Oliver,Skipp,MID,45,0.1,22,691,0,0,0,17,3,0,0,105,92.0,126.2,65.0,28.1,2023-24
Son,Heung-min,MID,100,34.4,213,2934,17,10,8,51,1,0,25,707,993.2,921.9,1131.0,304.7,2023-24
Djed,Spence,DEF,40,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Japhet,Tanganga,DEF,40,0.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Destiny,Udogie,DEF,49,5.2,79,2391,2,3,5,43,5,1,8,402,534.8,357.9,279.0,117.3,2023-24
Guglielmo,Vicario,GK,53,9.4,112,3420,0,0,7,61,2,0,9,730,974.2,0.0,0.0,97.4,2023-24
Alfie,Whiteman,GK,39,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Manor,Solomon,MID,51,0.1,14,196,0,2,0,2,1,0,2,53,73.4,144.3,61.0,28.0,2023-24
Micky,van de Ven,DEF,44,3.7,81,2341,3,0,5,38,5,0,10,501,561.6,56.7,85.0,70.5,2023-24
Dane,Scarlett,FWD,45,0.1,4,19,0,0,0,0,0,0,0,10,2.0,0.4,6.0,0.8,2023-24
Alejo,Véliz,FWD,54,0.1,11,45,1,0,0,2,1,0,0,40,35.2,0.9,29.0,6.5,2023-24
Ashley,Phillips,DEF,40,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jamie,Donley,FWD,45,0.1,2,3,0,0,0,1,1,0,0,3,3.0,0.0,0.0,0.3,2023-24
Alfie,Dorrington,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Yago,de Santiago Alonso,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Timo,Werner,FWD,63,0.5,46,808,2,4,0,16,1,0,5,173,179.0,239.0,305.0,72.3,2023-24
Radu,Dragusin,DEF,42,0.1,14,424,0,0,1,7,1,0,0,82,95.4,7.4,6.0,11.0,2023-24
Mikey,Moore,MID,45,0.0,2,3,0,0,0,0,0,0,0,4,1.0,0.5,0.0,0.1,2023-24
Tyrese,Hall,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Kalvin,Phillips,MID,47,0.0,10,394,0,0,0,13,1,1,0,27,35.6,23.3,31.0,9.1,2023-24
Nayef,Aguerd,DEF,44,0.5,36,1857,1,0,2,44,1,1,0,282,439.4,58.1,145.0,64.4,2023-24
Michail,Antonio,FWD,57,1.9,78,1692,6,2,5,34,6,0,8,228,308.6,132.2,395.0,82.7,2023-24
Alphonse,Areola,GK,42,22.3,116,2700,0,0,4,53,1,0,11,598,1023.2,0.0,0.0,102.4,2023-24
Saïd,Benrahma,MID,56,0.3,20,611,0,1,2,8,1,0,0,64,85.4,164.9,196.0,44.6,2023-24
Jarrod,Bowen,MID,76,12.1,182,3020,16,6,5,63,2,0,14,519,890.4,463.8,1130.0,247.8,2023-24
Maxwel,Cornet,MID,52,0.1,13,109,1,0,0,3,0,0,0,40,44.0,48.4,54.0,14.6,2023-24
Vladimír,Coufal,DEF,45,2.0,85,3135,0,7,4,70,5,1,9,514,661.6,500.0,92.0,125.6,2023-24
Conor,Coventry,MID,43,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Aaron,Cresswell,DEF,42,0.3,10,431,0,0,0,11,1,0,0,71,58.8,77.2,2.0,13.9,2023-24
Flynn,Downes,MID,50,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Emerson,Palmieri dos Santos,DEF,43,1.9,82,3138,1,4,5,67,10,0,8,519,649.0,400.2,168.0,121.8,2023-24
Lukasz,Fabianski,GK,42,1.3,24,721,0,0,1,21,0,0,1,152,245.6,0.0,0.0,24.6,2023-24
Pablo,Fornals Malla,MID,46,0.0,19,418,0,0,1,9,0,0,0,68,64.2,75.5,79.0,21.9,2023-24
Danny,Ings,FWD,55,0.6,36,389,1,2,0,10,1,0,4,105,82.4,64.4,125.0,27.1,2023-24
Ben,Johnson,DEF,44,0.1,17,538,0,0,1,16,1,0,0,90,84.6,22.5,38.0,14.7,2023-24
