id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
487,Nicolás,Domínguez,18,3,50,0.1,0.0,48,1168,1,1,3,20,0,0,0,3,0,0,3,229,264.8,193.5,138.0,59.7
488,Ibrahim,Sangaré,18,3,50,0.5,0.0,89,2073,2,2,8,26,0,0,0,5,0,0,2,366,434.4,205.9,126.0,76.8
489,Ryan,Yates,18,3,45,7.4,0.0,30,602,0,2,0,7,0,0,0,3,0,0,0,123,139.0,79.7,55.0,27.2
490,Chris,Wood,18,4,60,1.8,0.0,41,896,3,0,2,14,0,0,0,0,0,0,4,145,139.0,88.4,266.0,48.0
491,Igor Jesus,Maciel da Cruz,18,4,60,4.9,0.0,114,2293,6,6,9,37,0,0,0,2,0,0,13,407,420.6,240.7,726.0,136.4
492,Taiwo,Awoniyi,18,4,55,0.4,0.0,43,480,4,2,1,4,0,0,0,2,0,0,4,170,177.2,79.0,235.0,48.4
493,Arnaud,Kalimuendo,18,4,55,0.1,0.0,9,89,0,0,0,3,0,0,0,0,0,0,0,24,6.8,17.7,39.0,6.3
558,Xaver,Schlager,18,3,50,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
112,Jan Paul,van Hecke,19,2,50,8.3,0.0,148,3210,3,3,10,44,1,0,0,9,0,0,8,575,980.6,240.4,295.0,152.0
455,Sandro,Tonali,19,3,55,3.9,0.0,81,2534,0,2,7,38,0,0,0,4,0,0,2,477,398.0,534.1,198.0,113.4
494,Guglielmo,Vicario,19,1,45,1.5,0.0,90,2790,0,0,7,50,0,0,0,1,0,83,6,412,709.2,10.1,0.0,72.2
495,Brandon,Austin,19,1,40,0.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
496,Antonín,Kinský,19,1,45,18.7,0.0,20,630,0,0,2,7,0,0,0,1,0,10,0,76,102.6,0.0,0.0,10.3
